GENENAME,UniprotID,Reviewed,Evidence,Features,Start,End,Descriptions
Ankrd42,Q3V096,Reviewed,transcript,Coiled coil,395,484,NA
Ankrd54,A7YB12,Unreviewed,protein,Domain,108,215,ANK_REP_REGION
Ankrd54,Q91WK7,Reviewed,protein,Repeat,108,137,ANK 1
Ankrd54,Q91WK7,Reviewed,protein,Repeat,141,170,ANK 2
Ankrd54,Q91WK7,Reviewed,protein,Repeat,174,203,ANK 3
Ankrd54,Q91WK7,Reviewed,protein,Repeat,207,239,ANK 4
Ankrd54,Q91WK7,Reviewed,protein,Region,140,240,LYN-binding
Ankrd54,Q91WK7,Reviewed,protein,Motif,98,116,Nuclear localization signal (NLS)
Ankrd54,Q91WK7,Reviewed,protein,Motif,282,292,Nuclear export signal (NES)
Aqp11,Q8BHH1,Reviewed,protein,Motif,99,101,NPA 1
Aqp11,Q8BHH1,Reviewed,protein,Motif,216,218,NPA 2
Aqp2,P56402,Reviewed,protein,Motif,68,70,NPA 1
Aqp2,P56402,Reviewed,protein,Motif,184,186,NPA 2
Aqp2,Q3UQD4,NA,NA,NA,NA,NA,NA
Aqp5,Q9WTY4,Reviewed,protein,Motif,69,71,NPA 1
Aqp5,Q9WTY4,Reviewed,protein,Motif,185,187,NPA 2
Aqp6,Q8C4A0,Reviewed,transcript,Motif,79,81,NPA 1
Aqp6,Q8C4A0,Reviewed,transcript,Motif,193,195,NPA 2
Arap1,Q4LDD4,Reviewed,protein,Domain,6,70,SAM
Arap1,Q4LDD4,Reviewed,protein,Domain,329,421,PH 1
Arap1,Q4LDD4,Reviewed,protein,Domain,442,531,PH 2
Arap1,Q4LDD4,Reviewed,protein,Domain,537,662,Arf-GAP
Arap1,Q4LDD4,Reviewed,protein,Domain,745,852,PH 3
Arap1,Q4LDD4,Reviewed,protein,Domain,956,1141,Rho-GAP
Arap1,Q4LDD4,Reviewed,protein,Domain,1174,1263,Ras-associating
Arap1,Q4LDD4,Reviewed,protein,Domain,1276,1398,PH 4
Arap1,Q4LDD4,Reviewed,protein,Zinc finger,552,575,C4-type
Arap1,E9PUB0,Unreviewed,protein,Domain,31,138,PH
Arap1,E9PUB0,Unreviewed,protein,Domain,242,427,Rho-GAP
Arap1,E9PUB0,Unreviewed,protein,Domain,460,549,Ras-associating
Arap1,E9PUB0,Unreviewed,protein,Domain,562,673,PH
Arfgap3,Q9D8S3,Reviewed,protein,Domain,10,126,Arf-GAP
Arfgap3,Q9D8S3,Reviewed,protein,Compositional bias,348,408,Ser-rich
Arfgap3,Q9D8S3,Reviewed,protein,Zinc finger,25,48,C4-type
Arhgap39,G3X932,Unreviewed,protein,Domain,65,99,WW
Arhgap39,G3X932,Unreviewed,protein,Domain,717,869,MyTH4
Arhgap39,G3X932,Unreviewed,protein,Domain,916,1104,Rho-GAP
Arhgap39,P59281,Reviewed,protein,Domain,25,58,WW 1
Arhgap39,P59281,Reviewed,protein,Domain,63,97,WW 2
Arhgap39,P59281,Reviewed,protein,Domain,715,867,MyTH4
Arhgap39,P59281,Reviewed,protein,Domain,914,1102,Rho-GAP
Arhgap39,H7BX46,Unreviewed,protein,Domain,65,99,WW
Arhgap39,H7BX46,Unreviewed,protein,Domain,717,874,MyTH4
Arhgap39,H7BX46,Unreviewed,protein,Domain,885,1073,Rho-GAP
Arhgap8,Q9CXP4,Reviewed,transcript,Domain,13,168,CRAL-TRIO
Arhgap8,Q9CXP4,Reviewed,transcript,Domain,195,381,Rho-GAP
Arhgef17,Q80U35,Reviewed,protein,Domain,1059,1247,DH
Arhgef17,Q80U35,Reviewed,protein,Compositional bias,196,199,Poly-Arg
Arhgef17,Q80U35,Reviewed,protein,Compositional bias,230,234,Poly-Ser
Arhgef17,Q80U35,Reviewed,protein,Compositional bias,251,255,Poly-Glu
Arhgef17,Q80U35,Reviewed,protein,Compositional bias,700,703,Poly-Arg
Arhgef17,Q80U35,Reviewed,protein,Compositional bias,955,1047,Pro-rich
Arhgef17,Q80U35,Reviewed,protein,Compositional bias,1986,1990,Poly-Pro
Arhgef17,Q80U35,Reviewed,protein,Compositional bias,2035,2038,Poly-Gly
Arid2,E9Q7E2,Unreviewed,protein,Domain,13,105,ARID
Arid2,E9Q7E2,Unreviewed,protein,Domain,524,603,RFX-type winged-helix DNA-binding
Arid2,Q9D982,Unreviewed,protein,Domain,13,105,ARID
Arrdc4,A0A0B4J1F4,Reviewed,transcript,Motif,347,350,PPXY 1Curated
Arrdc4,A0A0B4J1F4,Reviewed,transcript,Motif,392,395,PPXY 2Curated
Arrdc4,Q8VD69,Reviewed,transcript,Motif,347,350,PPXY 1Curated
Arrdc4,Q8VD69,Reviewed,transcript,Motif,392,395,PPXY 2Curated
Arsa,P50428,NA,NA,NA,NA,NA,NA
Art1,Q545U9,NA,NA,NA,NA,NA,NA
Art1,Q60935,NA,NA,NA,NA,NA,NA
Art2b,O35975,NA,NA,NA,NA,NA,NA
Asap1,H3BKE6,Unreviewed,protein,Domain,336,428,PH
Asap1,H3BKE6,Unreviewed,protein,Domain,612,689,ANK_REP_REGION
Asap1,H3BKE6,Unreviewed,protein,Domain,1025,1087,SH3
Asap1,Q3UJA5,Unreviewed,transcript,Domain,336,428,PH
Asap1,Q3UJA5,Unreviewed,transcript,Domain,612,689,ANK_REP_REGION
Asap1,Q3UJA5,Unreviewed,transcript,Domain,1025,1087,SH3
Asap1,Q9QWY8,Reviewed,protein,Domain,339,431,PH
Asap1,Q9QWY8,Reviewed,protein,Domain,454,577,Arf-GAP
Asap1,Q9QWY8,Reviewed,protein,Repeat,615,647,ANK 1
Asap1,Q9QWY8,Reviewed,protein,Repeat,651,680,ANK 2
Asap1,Q9QWY8,Reviewed,protein,Domain,1085,1147,SH3
Asap1,Q9QWY8,Reviewed,protein,Compositional bias,798,1011,Pro-rich
Asap1,Q9QWY8,Reviewed,protein,Zinc finger,469,492,C4-type
Asap1,H3BL41,Unreviewed,protein,Domain,316,408,PH
Asap1,H3BL41,Unreviewed,protein,Domain,592,669,ANK_REP_REGION
Asap1,H3BL41,Unreviewed,protein,Domain,1062,1124,SH3
Asap1,E9QMJ1,Unreviewed,protein,Domain,304,396,PH
Asap1,E9QMJ1,Unreviewed,protein,Domain,580,657,ANK_REP_REGION
Asap1,E9QMJ1,Unreviewed,protein,Domain,1050,1112,SH3
Asap1,Q3TXY1,Unreviewed,transcript,Domain,71,133,SH3
Asic1,Q6NXK8,Reviewed,protein,Motif,442,444,Selectivity filterCurated
Atad2,G3X963,Unreviewed,protein,Domain,982,1037,Bromo
Atad2,Q6IQY4,NA,NA,NA,NA,NA,NA
Atad2,Q8CDM1,Reviewed,protein,Domain,650,720,Bromo
Atad2,Q8CDM1,Reviewed,protein,Coiled coil,619,643,NA
Atad2,Q8CDM1,Reviewed,protein,Coiled coil,735,761,NA
Atad2,Q8CDM1,Reviewed,protein,Compositional bias,13,22,Poly-Ser
Atad2,Q8CDM1,Reviewed,protein,Compositional bias,891,894,Poly-Ser
Atf4,Q06507,Reviewed,protein,Domain,276,339,bZIP
Atf4,Q06507,Reviewed,protein,Region,278,298,Basic motif
Atf4,Q06507,Reviewed,protein,Region,303,339,Interaction with GABBR1
Atf4,Q06507,Reviewed,protein,Region,304,332,Leucine-zipper
Atf4,Q06507,Reviewed,protein,Motif,214,223,BetaTrCP degron motif
Atf4,Q8CF69,Unreviewed,transcript,Domain,277,340,BZIP (basic-leucine zipper)
Atf4,Q8CF69,Unreviewed,transcript,Coiled coil,295,343,NA
Atg16l2,G9M4M8,Unreviewed,transcript,Domain,336,623,WD_REPEATS_REGION
Atg16l2,G9M4M8,Unreviewed,transcript,Coiled coil,122,209,NA
Atg16l2,Q6KAU8,Reviewed,transcript,Repeat,338,377,WD 1
Atg16l2,Q6KAU8,Reviewed,transcript,Repeat,382,421,WD 2
Atg16l2,Q6KAU8,Reviewed,transcript,Repeat,424,458,WD 3
Atg16l2,Q6KAU8,Reviewed,transcript,Repeat,459,502,WD 4
Atg16l2,Q6KAU8,Reviewed,transcript,Repeat,504,543,WD 5
Atg16l2,Q6KAU8,Reviewed,transcript,Repeat,550,589,WD 6
Atg16l2,Q6KAU8,Reviewed,transcript,Repeat,593,623,WD 7
Atg16l2,Q6KAU8,Reviewed,transcript,Coiled coil,116,229,NA
Atxn10,P28658,NA,NA,NA,NA,NA,NA
AU021063,NA,NA,NA,NA,NA,NA,NA
B3gnt6,Q3USF0,NA,NA,NA,NA,NA,NA
Baiap2l2,Q80Y61,Reviewed,protein,Domain,1,239,IMD
Baiap2l2,Q80Y61,Reviewed,protein,Domain,324,387,SH3
BC024139,Q8BVJ3,Unreviewed,protein,Domain,625,700,GAR
BC024139,Q8BVJ3,Unreviewed,protein,Coiled coil,254,281,NA
BC048679,D3YXE9,NA,NA,NA,NA,NA,NA
BC048679,Q6XL63,Unreviewed,transcript,Domain,32,79,NLPC_P60
Bcdin3d,Q91YP1,Reviewed,transcript,Domain,53,275,Bin3-type SAM
Bik,O70337,Reviewed,protein,Region,127,148,NA
Bik,O70337,Reviewed,protein,Motif,51,65,BH3
Bin2,S4R270,Unreviewed,protein,Domain,28,244,BAR
Bin2,S4R270,Unreviewed,protein,Coiled coil,156,190,NA
Blm,O88700,Reviewed,protein,Domain,684,859,Helicase ATP-binding
Blm,O88700,Reviewed,protein,Domain,885,1032,Helicase C-terminal
Blm,O88700,Reviewed,protein,Domain,1217,1297,HRDC
Blm,O88700,Reviewed,protein,Motif,803,806,DEAH box
Blm,O88700,Reviewed,protein,Motif,1333,1348,NA
Blm,O88700,Reviewed,protein,Compositional bias,219,231,Poly-Glu
Blm,O88700,Reviewed,protein,Compositional bias,564,574,Poly-Asp
Blm,O88700,Reviewed,protein,Compositional bias,1312,1317,Poly-Glu
Blm,E9PZ97,Unreviewed,protein,Domain,687,862,Helicase ATP-binding
Blm,E9PZ97,Unreviewed,protein,Domain,888,1035,Helicase C-terminal
Blm,E9PZ97,Unreviewed,protein,Domain,1220,1300,HRDC
Bnc1,F8VPY0,Unreviewed,inferred,Domain,354,382,C2H2-type
Bnc1,F8VPY0,Unreviewed,inferred,Domain,716,744,C2H2-type
Bop1,P97452,Reviewed,protein,Repeat,397,436,WD 1
Bop1,P97452,Reviewed,protein,Repeat,438,478,WD 2
Bop1,P97452,Reviewed,protein,Repeat,518,560,WD 3
Bop1,P97452,Reviewed,protein,Repeat,563,601,WD 4
Bop1,P97452,Reviewed,protein,Repeat,604,643,WD 5
Bop1,P97452,Reviewed,protein,Repeat,647,686,WD 6
Bop1,P97452,Reviewed,protein,Repeat,702,732,WD 7
Bop1,P97452,Reviewed,protein,Region,251,413,Sufficient for nucleolar localization
Capn5,O08688,Reviewed,protein,Domain,26,343,Calpain catalytic
Capn5,O08688,Reviewed,protein,Domain,518,619,C2
Capn5,O08688,Reviewed,protein,Region,344,496,Domain III
Capn5,Q3TPL4,Unreviewed,protein,Domain,26,343,Calpain catalytic
Capn5,Q3UTF3,Unreviewed,transcript,Domain,1,89,C2
Card10,E9PUV9,Unreviewed,protein,Domain,72,164,CARD
Card10,E9PUV9,Unreviewed,protein,Coiled coil,203,240,NA
Card10,E9PUV9,Unreviewed,protein,Coiled coil,276,303,NA
Card10,E9PUV9,Unreviewed,protein,Coiled coil,323,350,NA
Card10,E9PUV9,Unreviewed,protein,Coiled coil,389,479,NA
Card10,P58660,Reviewed,protein,Domain,23,115,CARD
Card10,P58660,Reviewed,protein,Coiled coil,138,450,NA
Card10,P58660,Reviewed,protein,Compositional bias,558,565,Poly-Ser
Cbx6,Q9DBY5,Reviewed,protein,Domain,11,69,Chromo
Ccdc134,Q8C7V8,Reviewed,protein,Coiled coil,196,218,NA
Ccdc134,Q8C7V8,Reviewed,protein,Compositional bias,201,218,Arg/Glu/Lys-rich (mixed charge)
Ccdc166,Q0P5Z5,Unreviewed,transcript,Domain,67,142,DUF4515
Ccdc166,Q0P5Z5,Unreviewed,transcript,Coiled coil,40,67,NA
Ccdc166,Q0P5Z5,Unreviewed,transcript,Coiled coil,115,139,NA
Ccdc166,S4R181,Unreviewed,inferred,Domain,67,257,DUF4515
Ccdc166,S4R181,Unreviewed,inferred,Coiled coil,40,67,NA
Ccdc166,S4R181,Unreviewed,inferred,Coiled coil,115,139,NA
Ccdc166,S4R181,Unreviewed,inferred,Coiled coil,226,263,NA
Ccdc184,Q8BMK5,Reviewed,transcript,Coiled coil,39,68,NA
Ccdc65,Q8VHI7,Reviewed,protein,Coiled coil,99,163,NA
Ccdc65,Q8VHI7,Reviewed,protein,Coiled coil,253,280,NA
Ccdc89,Q9DA73,Reviewed,protein,Coiled coil,36,346,NA
Cckbr,P56481,NA,NA,NA,NA,NA,NA
Cckbr,Q3ZB46,Unreviewed,protein,Domain,71,396,G_PROTEIN_RECEP_F1_2
Ccnt1,Q9QWV9,Reviewed,protein,Coiled coil,384,425,NA
Ccnt1,Q9QWV9,Reviewed,protein,Motif,253,270,NA
Ccnt1,Q9QWV9,Reviewed,protein,Compositional bias,319,322,Poly-Ser
Ccnt1,Q9QWV9,Reviewed,protein,Compositional bias,505,529,His-rich
Ccnt1,Q9QWV9,Reviewed,protein,Compositional bias,565,569,Poly-Ser
Ccnt1,Q9QWV9,Reviewed,protein,Compositional bias,706,723,Pro-rich
Cdc42ep1,Q91W92,Reviewed,protein,Domain,38,52,CRIB
Cdc42ep1,Q91W92,Reviewed,protein,Repeat,235,241,1
Cdc42ep1,Q91W92,Reviewed,protein,Repeat,242,248,2
Cdc42ep1,Q91W92,Reviewed,protein,Repeat,255,261,3
Cdc42ep1,Q91W92,Reviewed,protein,Region,235,284,3 X 7 AA tandem repeats of [PT]-[AT]-A-[ENT]-[PT]-[PTS]-[AG]
Cdpf1,Q8CEZ9,NA,NA,NA,NA,NA,NA
Cdpf1,Q8R3A2,NA,NA,NA,NA,NA,NA
Cela1,Q91X79,Reviewed,protein,Domain,27,264,Peptidase S1
Celsr1,O35161,Reviewed,protein,Domain,261,368,Cadherin 1
Celsr1,O35161,Reviewed,protein,Domain,369,474,Cadherin 2
Celsr1,O35161,Reviewed,protein,Domain,475,580,Cadherin 3
Celsr1,O35161,Reviewed,protein,Domain,581,702,Cadherin 4
Celsr1,O35161,Reviewed,protein,Domain,703,804,Cadherin 5
Celsr1,O35161,Reviewed,protein,Domain,805,907,Cadherin 6
Celsr1,O35161,Reviewed,protein,Domain,908,1014,Cadherin 7
Celsr1,O35161,Reviewed,protein,Domain,1015,1116,Cadherin 8
Celsr1,O35161,Reviewed,protein,Domain,1121,1239,Cadherin 9
Celsr1,O35161,Reviewed,protein,Domain,1318,1376,EGF-like 1; calcium-binding
Celsr1,O35161,Reviewed,protein,Domain,1378,1414,EGF-like 2; calcium-binding
Celsr1,O35161,Reviewed,protein,Domain,1418,1456,EGF-like 3; calcium-binding
Celsr1,O35161,Reviewed,protein,Domain,1457,1661,Laminin G-like 1
Celsr1,O35161,Reviewed,protein,Domain,1664,1700,EGF-like 4; calcium-binding
Celsr1,O35161,Reviewed,protein,Domain,1704,1885,Laminin G-like 2
Celsr1,O35161,Reviewed,protein,Domain,1887,1922,EGF-like 5; calcium-binding
Celsr1,O35161,Reviewed,protein,Domain,1923,1961,EGF-like 6; calcium-binding
Celsr1,O35161,Reviewed,protein,Domain,1962,1994,EGF-like 7; calcium-binding
Celsr1,O35161,Reviewed,protein,Domain,1996,2031,EGF-like 8; calcium-binding
Celsr1,O35161,Reviewed,protein,Domain,2018,2065,Laminin EGF-like
Celsr1,O35161,Reviewed,protein,Domain,2423,2475,GPS
Celsr1,O35161,Reviewed,protein,Compositional bias,2674,2678,Poly-Leu
Cemip,Q5M9P4,NA,NA,NA,NA,NA,NA
Cemip,Q8BI06,Reviewed,protein,Domain,44,166,G8
Cemip,Q8BI06,Reviewed,protein,Repeat,572,594,PbH1 1
Cemip,Q8BI06,Reviewed,protein,Repeat,595,617,PbH1 2
Cemip,Q8BI06,Reviewed,protein,Repeat,719,741,PbH1 3
Cemip,Q8BI06,Reviewed,protein,Repeat,798,819,PbH1 4
Cemip,Q8BI06,Reviewed,protein,Region,295,591,Necessary for its endoplasmic reticulum (ER) retention and interaction with HSPA5
Cenpm,Q9CQA0,NA,NA,NA,NA,NA,NA
Cerk,Q8K4Q7,Reviewed,transcript,Domain,128,278,DAGKc
Cerk,Q8K4Q7,Reviewed,transcript,Region,1,125,Required for binding to sulfatide and phosphoinositides
Cerk,Q8K4Q7,Reviewed,transcript,Region,195,198,Substrate binding
Cers5,Q9D6K9,Reviewed,protein,Domain,139,340,TLC
Chadl,E9Q7T7,Reviewed,protein,Domain,30,61,NA
Chadl,E9Q7T7,Reviewed,protein,Repeat,85,107,NA
Chadl,E9Q7T7,Reviewed,protein,Repeat,108,131,NA
Chadl,E9Q7T7,Reviewed,protein,Repeat,132,155,NA
Chadl,E9Q7T7,Reviewed,protein,Repeat,156,179,NA
Chadl,E9Q7T7,Reviewed,protein,Repeat,181,203,NA
Chadl,E9Q7T7,Reviewed,protein,Repeat,204,227,NA
Chadl,E9Q7T7,Reviewed,protein,Repeat,229,252,NA
Chadl,E9Q7T7,Reviewed,protein,Repeat,253,275,NA
Chadl,E9Q7T7,Reviewed,protein,Repeat,276,299,NA
Chadl,E9Q7T7,Reviewed,protein,Domain,309,357,NA
Chadl,E9Q7T7,Reviewed,protein,Domain,394,428,NA
Chadl,E9Q7T7,Reviewed,protein,Repeat,423,446,NA
Chadl,E9Q7T7,Reviewed,protein,Repeat,448,470,NA
Chadl,E9Q7T7,Reviewed,protein,Repeat,471,494,NA
Chadl,E9Q7T7,Reviewed,protein,Repeat,496,518,NA
Chadl,E9Q7T7,Reviewed,protein,Repeat,519,542,NA
Chadl,E9Q7T7,Reviewed,protein,Repeat,544,566,NA
Chadl,E9Q7T7,Reviewed,protein,Repeat,567,590,NA
Chadl,E9Q7T7,Reviewed,protein,Repeat,591,614,NA
Chadl,E9Q7T7,Reviewed,protein,Repeat,616,639,NA
Chadl,E9Q7T7,Reviewed,protein,Repeat,641,665,NA
Chadl,E9Q7T7,Reviewed,protein,Domain,674,722,NA
Chd2,E9PZM4,Reviewed,protein,Domain,261,353,Chromo 1
Chd2,E9PZM4,Reviewed,protein,Domain,378,456,Chromo 2
Chd2,E9PZM4,Reviewed,protein,Domain,496,666,Helicase ATP-binding
Chd2,E9PZM4,Reviewed,protein,Domain,795,946,Helicase C-terminal
Chd2,E9PZM4,Reviewed,protein,Motif,617,620,DEAH box
Chd2,E9PZM4,Reviewed,protein,Compositional bias,13,75,Ser-rich
Chd2,E9PZM4,Reviewed,protein,Compositional bias,209,215,Poly-Asp
Chd2,E9PZM4,Reviewed,protein,Compositional bias,966,1066,Glu-rich
Chd2,E9PZM4,Reviewed,protein,Compositional bias,1303,1439,Lys-rich
Chd2,E9PZM4,Reviewed,protein,Compositional bias,1562,1565,Poly-Glu
Chd2,E9PZM4,Reviewed,protein,Compositional bias,1596,1720,His-rich
Chkb,O55229,Reviewed,protein,Region,77,79,Substrate binding
Chkb,Q54AG5,NA,NA,NA,NA,NA,NA
Chrac1,Q9JKP8,Reviewed,protein,Coiled coil,104,120,NA
Clpb,Q3URM1,Unreviewed,protein,Domain,133,276,ANK_REP_REGION
Clpb,Q60649,Reviewed,protein,Repeat,133,162,ANK 1
Clpb,Q60649,Reviewed,protein,Repeat,166,195,ANK 2
Clpb,Q60649,Reviewed,protein,Repeat,235,265,ANK 3
Clpb,Q60649,Reviewed,protein,Repeat,268,297,ANK 4
Clpb,E9PY58,Unreviewed,protein,Domain,133,306,ANK_REP_REGION
Cnga4,Q3UW12,Reviewed,transcript,Coiled coil,493,536,
Cnga4,Q3UW12,Reviewed,transcript,Motif,292,302,IQ-type
Cntn1,P12960,Reviewed,protein,Domain,41,131,Ig-like C2-type 1
Cntn1,P12960,Reviewed,protein,Domain,137,223,Ig-like C2-type 2
Cntn1,P12960,Reviewed,protein,Domain,241,326,Ig-like C2-type 3
Cntn1,P12960,Reviewed,protein,Domain,331,407,Ig-like C2-type 4
Cntn1,P12960,Reviewed,protein,Domain,413,500,Ig-like C2-type 5
Cntn1,P12960,Reviewed,protein,Domain,504,603,Ig-like C2-type 6
Cntn1,P12960,Reviewed,protein,Domain,608,706,Fibronectin type-III 1
Cntn1,P12960,Reviewed,protein,Domain,711,808,Fibronectin type-III 2
Cntn1,P12960,Reviewed,protein,Domain,813,908,Fibronectin type-III 3
Cntn1,P12960,Reviewed,protein,Domain,909,1002,Fibronectin type-III 4
Cntn1,P12960,Reviewed,protein,Compositional bias,604,611,Gly/Pro-rich
Coa4,Q8BT51,Reviewed,inferred,Domain,27,67,CHCH
Coa4,Q8BT51,Reviewed,inferred,Motif,34,44,Cx9C motif 1
Coa4,Q8BT51,Reviewed,inferred,Motif,54,64,Cx9C motif 2
Col14a1,B7ZNH7,Unreviewed,protein,Domain,32,122,Fibronectin type-III
Col14a1,B7ZNH7,Unreviewed,protein,Domain,159,331,VWFA
Col14a1,B7ZNH7,Unreviewed,protein,Domain,356,445,Fibronectin type-III
